epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.99964,1.0499,4.42485,1.45638,0.00317,0.75,0.20494,0.16704,0.8658,4.06135,1.5876,3.75e-05,3.75e-05,3.75e-05
2,2.94588,1.1861,4.91144,1.6294,0.00502,0.75,0.29988,0.24254,0.88689,4.0949,1.60648,8.69225e-05,8.69225e-05,8.69225e-05
3,3.88295,1.00525,4.6124,1.45404,0.01283,0.75,0.47719,0.35605,0.8605,4.03613,1.49398,0.000135685,0.000135685,0.000135685
4,4.92211,1.04573,4.43162,1.46296,0.04599,0.75,0.44839,0.38533,0.72999,3.91255,1.26893,0.000183787,0.000183787,0.000183787
5,5.93724,0.95714,3.72326,1.35782,0.04646,0.75,0.4734,0.41887,0.71754,3.89982,1.20561,0.00023123,0.00023123,0.00023123
6,7.05655,0.95686,3.71271,1.35731,0.03469,0.75,0.47177,0.39785,0.74299,3.88367,1.17665,0.000278012,0.000278012,0.000278012
7,8.05062,0.99782,3.6164,1.44101,0.03469,0.75,0.47177,0.39785,0.74299,3.88367,1.17665,0.000324135,0.000324135,0.000324135
8,9.05939,0.99419,3.34279,1.5096,0.03024,0.75,0.45099,0.39709,0.81099,3.85581,1.25958,0.000369597,0.000369597,0.000369597
9,10.0733,1.02355,3.08364,1.58026,0.02914,0.75,0.48073,0.41294,0.78221,3.84144,1.28417,0.0004144,0.0004144,0.0004144
10,11.0575,1.0101,2.88448,1.41011,0.02914,0.75,0.48073,0.41294,0.78221,3.84144,1.28417,0.000458542,0.000458542,0.000458542
11,12.0674,1.07428,3.07654,1.56465,0.0159,0.75,0.55489,0.46637,0.76887,3.75092,1.25671,0.000502025,0.000502025,0.000502025
12,13.0562,1.02881,3.7188,1.45241,0.0159,0.75,0.55489,0.46637,0.76887,3.75092,1.25671,0.000544848,0.000544848,0.000544848
13,14.0592,1.13332,3.14744,1.59067,0.01007,0.75,0.59661,0.52973,0.68625,3.68309,1.19453,0.00058701,0.00058701,0.00058701
14,15.1418,0.82952,2.71286,1.31126,0.01007,0.75,0.59661,0.52973,0.68625,3.68309,1.19453,0.000628512,0.000628512,0.000628512
15,16.15,0.98517,3.16145,1.41924,0.0179,1,0.82692,0.62977,0.8116,3.32978,1.29767,0.000669355,0.000669355,0.000669355
16,17.122,0.95777,3.12549,1.45196,0.0179,1,0.82692,0.62977,0.8116,3.32978,1.29767,0.000709538,0.000709538,0.000709538
17,18.1086,0.96033,2.47701,1.32447,0.0179,1,0.82692,0.62977,0.8116,3.32978,1.29767,0.00074906,0.00074906,0.00074906
18,19.1107,1.04533,3.35975,1.49197,0.89561,0.55151,0.83634,0.65111,0.80482,2.90967,1.27804,0.000787922,0.000787922,0.000787922
19,20.0945,0.94259,3.4695,1.48284,0.89561,0.55151,0.83634,0.65111,0.80482,2.90967,1.27804,0.000826125,0.000826125,0.000826125
20,21.0758,0.9572,2.54478,1.31337,0.89561,0.55151,0.83634,0.65111,0.80482,2.90967,1.27804,0.000863668,0.000863668,0.000863668
21,22.0505,0.89504,2.31999,1.27938,0.89561,0.55151,0.83634,0.65111,0.80482,2.90967,1.27804,0.00090055,0.00090055,0.00090055
22,23.1314,0.94964,3.01628,1.32606,0.94393,0.56143,0.995,0.79797,0.80548,2.69436,1.25054,0.000936772,0.000936772,0.000936772
23,24.0981,0.86672,2.50844,1.1807,0.94393,0.56143,0.995,0.79797,0.80548,2.69436,1.25054,0.000972335,0.000972335,0.000972335
24,25.0963,0.91443,2.77838,1.23863,0.94393,0.56143,0.995,0.79797,0.80548,2.69436,1.25054,0.00100724,0.00100724,0.00100724
25,26.0767,0.89956,2.905,1.26877,0.94393,0.56143,0.995,0.79797,0.80548,2.69436,1.25054,0.00104148,0.00104148,0.00104148
26,27.0802,0.99649,2.98648,1.3505,0.96026,0.34651,0.89833,0.70216,0.8125,2.87438,1.28846,0.00104375,0.00104375,0.00104375
27,28.0566,0.88928,3.32267,1.34931,0.96026,0.34651,0.89833,0.70216,0.8125,2.87438,1.28846,0.0010355,0.0010355,0.0010355
28,29.0991,0.85167,2.6524,1.16665,0.96026,0.34651,0.89833,0.70216,0.8125,2.87438,1.28846,0.00102725,0.00102725,0.00102725
29,30.0732,1.02691,3.88262,1.46951,0.96026,0.34651,0.89833,0.70216,0.8125,2.87438,1.28846,0.001019,0.001019,0.001019
30,31.0768,1.05293,3.81124,1.48845,0.83651,0.9,0.95477,0.72162,0.96811,2.16305,1.48308,0.00101075,0.00101075,0.00101075
31,32.0523,0.8805,2.31738,1.25292,0.83651,0.9,0.95477,0.72162,0.96811,2.16305,1.48308,0.0010025,0.0010025,0.0010025
32,33.0242,0.86912,2.59158,1.2761,0.83651,0.9,0.95477,0.72162,0.96811,2.16305,1.48308,0.00099425,0.00099425,0.00099425
33,34.0074,0.97251,2.56673,1.4056,0.83651,0.9,0.95477,0.72162,0.96811,2.16305,1.48308,0.000986,0.000986,0.000986
34,35.0168,0.91493,2.74027,1.3837,0.93613,0.83852,0.995,0.79423,0.85594,1.97304,1.41949,0.00097775,0.00097775,0.00097775
35,36.0571,0.88095,2.14253,1.30969,0.93613,0.83852,0.995,0.79423,0.85594,1.97304,1.41949,0.0009695,0.0009695,0.0009695
36,37.0484,0.90326,2.39051,1.36644,0.93613,0.83852,0.995,0.79423,0.85594,1.97304,1.41949,0.00096125,0.00096125,0.00096125
37,38.0542,0.77788,2.34697,1.19135,0.93613,0.83852,0.995,0.79423,0.85594,1.97304,1.41949,0.000953,0.000953,0.000953
38,39.065,0.98337,2.49394,1.39009,0.83943,0.76246,0.95135,0.77143,0.86,2.21759,1.35143,0.00094475,0.00094475,0.00094475
39,40.0548,0.8383,2.42274,1.33939,0.83943,0.76246,0.95135,0.77143,0.86,2.21759,1.35143,0.0009365,0.0009365,0.0009365
40,41.0299,0.79425,2.3691,1.18913,0.83943,0.76246,0.95135,0.77143,0.86,2.21759,1.35143,0.00092825,0.00092825,0.00092825
41,42.0197,0.73092,2.28556,1.16047,0.83943,0.76246,0.95135,0.77143,0.86,2.21759,1.35143,0.00092,0.00092,0.00092
42,43.0955,0.86093,2.62776,1.27249,0.817,0.66677,0.92662,0.7645,0.8024,2.30212,1.31541,0.00091175,0.00091175,0.00091175
43,44.0684,0.84453,2.43785,1.30485,0.817,0.66677,0.92662,0.7645,0.8024,2.30212,1.31541,0.0009035,0.0009035,0.0009035
44,45.0571,0.99698,2.38052,1.34793,0.817,0.66677,0.92662,0.7645,0.8024,2.30212,1.31541,0.00089525,0.00089525,0.00089525
45,46.0223,0.86018,2.06354,1.23167,0.817,0.66677,0.92662,0.7645,0.8024,2.30212,1.31541,0.000887,0.000887,0.000887
46,47.0125,0.83976,2.33192,1.27626,0.86251,0.94206,0.995,0.86473,0.66191,1.58845,1.14698,0.00087875,0.00087875,0.00087875
47,48.0122,0.79275,2.50432,1.25415,0.86251,0.94206,0.995,0.86473,0.66191,1.58845,1.14698,0.0008705,0.0008705,0.0008705
48,48.9931,0.67617,1.75588,1.08542,0.86251,0.94206,0.995,0.86473,0.66191,1.58845,1.14698,0.00086225,0.00086225,0.00086225
49,49.9802,0.75015,2.5732,1.18078,0.86251,0.94206,0.995,0.86473,0.66191,1.58845,1.14698,0.000854,0.000854,0.000854
50,51.064,0.7532,1.91019,1.17125,0.92058,0.98608,0.995,0.8602,0.795,1.5345,1.2042,0.00084575,0.00084575,0.00084575
51,52.0716,0.79685,2.55607,1.18782,0.92058,0.98608,0.995,0.8602,0.795,1.5345,1.2042,0.0008375,0.0008375,0.0008375
52,53.0694,0.77165,1.99873,1.14561,0.92058,0.98608,0.995,0.8602,0.795,1.5345,1.2042,0.00082925,0.00082925,0.00082925
53,54.0605,0.79929,1.89646,1.13916,0.92058,0.98608,0.995,0.8602,0.795,1.5345,1.2042,0.000821,0.000821,0.000821
54,55.0983,0.77031,2.00196,1.12873,0.97075,0.96892,0.995,0.84378,0.74135,1.42595,1.15844,0.00081275,0.00081275,0.00081275
55,56.0863,0.79,2.24243,1.16535,0.97075,0.96892,0.995,0.84378,0.74135,1.42595,1.15844,0.0008045,0.0008045,0.0008045
56,57.0751,0.79004,2.04475,1.18153,0.97075,0.96892,0.995,0.84378,0.74135,1.42595,1.15844,0.00079625,0.00079625,0.00079625
57,58.125,0.69158,2.21525,1.17801,0.97075,0.96892,0.995,0.84378,0.74135,1.42595,1.15844,0.000788,0.000788,0.000788
58,59.1513,0.6502,1.85682,1.05273,0.94914,1,0.995,0.88011,0.63857,1.42715,1.10667,0.00077975,0.00077975,0.00077975
59,60.1511,0.71238,2.06582,1.13424,0.94914,1,0.995,0.88011,0.63857,1.42715,1.10667,0.0007715,0.0007715,0.0007715
60,61.1698,0.67616,1.54675,1.01912,0.94914,1,0.995,0.88011,0.63857,1.42715,1.10667,0.00076325,0.00076325,0.00076325
61,62.165,0.70165,2.3488,1.19183,0.94914,1,0.995,0.88011,0.63857,1.42715,1.10667,0.000755,0.000755,0.000755
62,63.1572,0.68854,2.08299,1.173,0.92706,1,0.995,0.89575,0.61321,1.39418,1.09261,0.00074675,0.00074675,0.00074675
63,64.1492,0.64468,1.79156,1.06621,0.92706,1,0.995,0.89575,0.61321,1.39418,1.09261,0.0007385,0.0007385,0.0007385
64,65.2073,0.64491,2.12289,1.13809,0.92706,1,0.995,0.89575,0.61321,1.39418,1.09261,0.00073025,0.00073025,0.00073025
65,66.2008,0.65826,1.97589,1.05737,0.92706,1,0.995,0.89575,0.61321,1.39418,1.09261,0.000722,0.000722,0.000722
66,67.2069,0.64105,1.79065,1.0312,0.94904,1,0.995,0.85322,0.70443,1.30724,1.14581,0.00071375,0.00071375,0.00071375
67,68.181,0.66922,1.98303,1.13586,0.94904,1,0.995,0.85322,0.70443,1.30724,1.14581,0.0007055,0.0007055,0.0007055
68,69.1519,0.67203,1.78942,1.11233,0.94904,1,0.995,0.85322,0.70443,1.30724,1.14581,0.00069725,0.00069725,0.00069725
69,70.1212,0.6566,1.83973,1.10461,0.94904,1,0.995,0.85322,0.70443,1.30724,1.14581,0.000689,0.000689,0.000689
70,71.129,0.58873,1.5952,1.03487,0.97421,1,0.995,0.87521,0.66918,1.18971,1.1494,0.00068075,0.00068075,0.00068075
71,72.1758,0.72874,2.49708,1.12717,0.97421,1,0.995,0.87521,0.66918,1.18971,1.1494,0.0006725,0.0006725,0.0006725
72,73.157,0.7055,1.75947,1.10205,0.97421,1,0.995,0.87521,0.66918,1.18971,1.1494,0.00066425,0.00066425,0.00066425
73,74.1309,0.73938,1.76414,1.10346,0.97421,1,0.995,0.87521,0.66918,1.18971,1.1494,0.000656,0.000656,0.000656
74,75.1344,0.91061,2.90038,1.32165,0.96966,1,0.995,0.86959,0.66179,1.23797,1.16774,0.00064775,0.00064775,0.00064775
75,76.1108,0.61607,1.70716,1.05035,0.96966,1,0.995,0.86959,0.66179,1.23797,1.16774,0.0006395,0.0006395,0.0006395
76,77.077,0.76037,1.96332,1.19394,0.96966,1,0.995,0.86959,0.66179,1.23797,1.16774,0.00063125,0.00063125,0.00063125
77,78.0546,0.61148,1.61972,1.07741,0.96966,1,0.995,0.86959,0.66179,1.23797,1.16774,0.000623,0.000623,0.000623
78,79.1194,0.7954,2.14175,1.31988,0.95911,1,0.995,0.89176,0.57767,1.20994,1.08996,0.00061475,0.00061475,0.00061475
79,80.0868,0.68952,1.93539,1.12388,0.95911,1,0.995,0.89176,0.57767,1.20994,1.08996,0.0006065,0.0006065,0.0006065
80,81.0789,0.58651,1.60159,1.02142,0.95911,1,0.995,0.89176,0.57767,1.20994,1.08996,0.00059825,0.00059825,0.00059825
81,82.0528,0.64926,1.86631,1.12787,0.95911,1,0.995,0.89176,0.57767,1.20994,1.08996,0.00059,0.00059,0.00059
82,83.0647,0.61897,1.52657,1.06088,0.9587,1,0.995,0.90086,0.53578,1.13302,1.0534,0.00058175,0.00058175,0.00058175
83,84.0501,0.6992,1.68368,1.11237,0.9587,1,0.995,0.90086,0.53578,1.13302,1.0534,0.0005735,0.0005735,0.0005735
84,85.0314,0.57387,1.49851,1.01736,0.9587,1,0.995,0.90086,0.53578,1.13302,1.0534,0.00056525,0.00056525,0.00056525
85,86.017,0.64489,2.50962,1.06979,0.9587,1,0.995,0.90086,0.53578,1.13302,1.0534,0.000557,0.000557,0.000557
86,87.0792,0.60255,1.69345,1.09202,0.96172,1,0.995,0.90777,0.55869,1.13697,1.05803,0.00054875,0.00054875,0.00054875
87,88.0666,0.74601,2.25494,1.19594,0.96172,1,0.995,0.90777,0.55869,1.13697,1.05803,0.0005405,0.0005405,0.0005405
88,89.0409,0.60692,1.85532,1.0724,0.96172,1,0.995,0.90777,0.55869,1.13697,1.05803,0.00053225,0.00053225,0.00053225
89,90.0082,0.72799,1.74011,1.18929,0.96172,1,0.995,0.90777,0.55869,1.13697,1.05803,0.000524,0.000524,0.000524
90,91.0274,0.60594,1.78833,1.03206,0.94342,1,0.995,0.9058,0.5663,1.11472,1.04482,0.00051575,0.00051575,0.00051575
91,92.0084,0.63383,1.97123,1.09744,0.94342,1,0.995,0.9058,0.5663,1.11472,1.04482,0.0005075,0.0005075,0.0005075
92,93.0536,0.59811,2.01084,1.08033,0.94342,1,0.995,0.9058,0.5663,1.11472,1.04482,0.00049925,0.00049925,0.00049925
93,94.0198,0.61793,1.58821,1.06903,0.94342,1,0.995,0.9058,0.5663,1.11472,1.04482,0.000491,0.000491,0.000491
94,95.0233,0.62984,1.71765,1.11537,0.93928,0.99673,0.995,0.93027,0.56061,1.10469,1.03415,0.00048275,0.00048275,0.00048275
95,96.0079,0.67187,1.75626,1.12295,0.93928,0.99673,0.995,0.93027,0.56061,1.10469,1.03415,0.0004745,0.0004745,0.0004745
96,96.9928,0.67787,1.58235,1.09304,0.93928,0.99673,0.995,0.93027,0.56061,1.10469,1.03415,0.00046625,0.00046625,0.00046625
97,97.9904,0.63767,1.80199,1.03699,0.93928,0.99673,0.995,0.93027,0.56061,1.10469,1.03415,0.000458,0.000458,0.000458
98,98.9963,0.56329,1.61717,1.03876,0.94499,1,0.995,0.92464,0.56483,1.10563,1.03412,0.00044975,0.00044975,0.00044975
99,99.967,0.59207,1.96208,1.10104,0.94499,1,0.995,0.92464,0.56483,1.10563,1.03412,0.0004415,0.0004415,0.0004415
100,101.011,0.62961,1.61788,1.06553,0.94499,1,0.995,0.92464,0.56483,1.10563,1.03412,0.00043325,0.00043325,0.00043325
101,101.979,0.63874,2.12635,1.15895,0.94499,1,0.995,0.92464,0.56483,1.10563,1.03412,0.000425,0.000425,0.000425
102,102.981,0.64031,1.69229,1.09004,0.95146,1,0.995,0.91704,0.51927,1.0533,1.02024,0.00041675,0.00041675,0.00041675
103,103.97,0.64864,1.60837,1.07735,0.95146,1,0.995,0.91704,0.51927,1.0533,1.02024,0.0004085,0.0004085,0.0004085
104,104.946,0.6847,2.20015,1.15389,0.95146,1,0.995,0.91704,0.51927,1.0533,1.02024,0.00040025,0.00040025,0.00040025
105,105.912,0.5693,1.64538,1.04225,0.95146,1,0.995,0.91704,0.51927,1.0533,1.02024,0.000392,0.000392,0.000392
106,106.919,0.64886,1.53584,1.10469,0.95415,1,0.995,0.9235,0.51334,1.03932,1.00923,0.00038375,0.00038375,0.00038375
107,107.962,0.60521,1.5127,1.03897,0.95415,1,0.995,0.9235,0.51334,1.03932,1.00923,0.0003755,0.0003755,0.0003755
108,108.94,0.56649,1.49991,1.03184,0.95415,1,0.995,0.9235,0.51334,1.03932,1.00923,0.00036725,0.00036725,0.00036725
109,109.905,0.52043,1.79056,1.02142,0.95415,1,0.995,0.9235,0.51334,1.03932,1.00923,0.000359,0.000359,0.000359
110,110.896,0.64451,1.73224,1.09788,0.95902,1,0.995,0.92073,0.51302,1.05839,1.00872,0.00035075,0.00035075,0.00035075
111,111.874,0.61785,1.44537,1.03228,0.95902,1,0.995,0.92073,0.51302,1.05839,1.00872,0.0003425,0.0003425,0.0003425
112,112.855,0.61363,1.95746,1.07977,0.95902,1,0.995,0.92073,0.51302,1.05839,1.00872,0.00033425,0.00033425,0.00033425
113,113.826,0.57199,1.62883,1.02667,0.95902,1,0.995,0.92073,0.51302,1.05839,1.00872,0.000326,0.000326,0.000326
114,114.893,0.62115,1.59172,1.10211,0.96705,1,0.995,0.91814,0.51558,1.04018,1.01439,0.00031775,0.00031775,0.00031775
